Timestamp,Value,Type
89598120.0,229,LDR
89600120.0,229,LDR
89602120.0,229,LDR
89604120.0,229,LDR
89606120.0,228,LDR
89608120.0,228,LDR
89610120.0,229,LDR
89612120.0,228,LDR
89614120.0,228,LDR
89616120.0,228,LDR
89618120.0,229,LDR
89620120.0,229,LDR
89622120.0,229,LDR
89624120.0,228,LDR
89626120.0,229,LDR
89628120.0,228,LDR
89630120.0,228,LDR
89632120.0,228,LDR
89634120.0,228,LDR
89636120.0,228,LDR
89638120.0,228,LDR
89640120.0,229,LDR
89642120.0,228,LDR
89644120.0,228,LDR
89646120.0,228,LDR
89648120.0,228,LDR
89650120.0,228,LDR
89652120.0,229,LDR
89654120.0,228,LDR
89656120.0,229,LDR
89658120.0,229,LDR
89660120.0,229,LDR
89662120.0,228,LDR
89664120.0,228,LDR
89666120.0,228,LDR
89668120.0,228,LDR
89670120.0,227,LDR
89672120.0,228,LDR
89674120.0,229,LDR
89676120.0,229,LDR
89678120.0,229,LDR
89680120.0,229,LDR
89682120.0,228,LDR
89684120.0,228,LDR
89686120.0,228,LDR
89688120.0,228,LDR
89690120.0,228,LDR
89692120.0,228,LDR
89694120.0,228,LDR
89696120.0,228,LDR
89698120.0,228,LDR
89700120.0,229,LDR
89702120.0,228,LDR
89704120.0,228,LDR
89706120.0,228,LDR
89708120.0,228,LDR
89710120.0,228,LDR
89712120.0,228,LDR
89714120.0,228,LDR
89716120.0,228,LDR
89718120.0,229,LDR
89720120.0,228,LDR
89722120.0,228,LDR
89724120.0,228,LDR
89726120.0,229,LDR
89728120.0,228,LDR
89730120.0,227,LDR
89732120.0,228,LDR
89734120.0,228,LDR
89736120.0,228,LDR
89738120.0,228,LDR
89740120.0,229,LDR
89742120.0,229,LDR
89744120.0,228,LDR
89746120.0,228,LDR
89748120.0,228,LDR
89750120.0,229,LDR
89752120.0,229,LDR
89754120.0,228,LDR
89756120.0,229,LDR
89758120.0,229,LDR
89760120.0,227,LDR
89762120.0,228,LDR
89764120.0,229,LDR
89766120.0,227,LDR
89768120.0,228,LDR
89770120.0,229,LDR
89772120.0,228,LDR
89774120.0,229,LDR
89776120.0,228,LDR
89778120.0,229,LDR
89780120.0,229,LDR
89782120.0,229,LDR
89784120.0,229,LDR
89786120.0,229,LDR
89788120.0,228,LDR
89790120.0,228,LDR
89792120.0,228,LDR
89794120.0,228,LDR
89796120.0,228,LDR
89798120.0,228,LDR
89800120.0,229,LDR
89802120.0,229,LDR
89804120.0,228,LDR
89806120.0,228,LDR
89808120.0,228,LDR
89810120.0,228,LDR
89812120.0,228,LDR
89814120.0,228,LDR
89816120.0,229,LDR
89818120.0,228,LDR
89820120.0,228,LDR
89822120.0,228,LDR
89824120.0,228,LDR
89826120.0,228,LDR
89828120.0,228,LDR
89830120.0,228,LDR
89832120.0,228,LDR
89834120.0,228,LDR
89836120.0,228,LDR
89838120.0,228,LDR
89840120.0,228,LDR
89842120.0,228,LDR
89844120.0,228,LDR
89846120.0,228,LDR
89848120.0,229,LDR
89850120.0,228,LDR
89852120.0,229,LDR
89854120.0,228,LDR
89856120.0,228,LDR
89858120.0,228,LDR
89860120.0,228,LDR
89862120.0,228,LDR
89864120.0,228,LDR
89866120.0,228,LDR
89868120.0,228,LDR
89870120.0,228,LDR
89872120.0,228,LDR
89874120.0,228,LDR
89876120.0,228,LDR
89878120.0,229,LDR
89880120.0,228,LDR
89882120.0,229,LDR
89884120.0,229,LDR
89886120.0,228,LDR
89888120.0,228,LDR
89890120.0,228,LDR
89892120.0,228,LDR
89894120.0,228,LDR
89896120.0,229,LDR
89898120.0,228,LDR
89900120.0,229,LDR
89902120.0,229,LDR
89904120.0,228,LDR
89906120.0,228,LDR
89908120.0,228,LDR
89910120.0,229,LDR
89912120.0,228,LDR
89914120.0,228,LDR
89916120.0,229,LDR
89918120.0,229,LDR
89920120.0,229,LDR
89922120.0,228,LDR
89924120.0,228,LDR
89926120.0,228,LDR
89928120.0,228,LDR
89930120.0,229,LDR
89932120.0,228,LDR
89934120.0,228,LDR
89936120.0,228,LDR
89938120.0,229,LDR
89940120.0,228,LDR
89942120.0,229,LDR
89944120.0,228,LDR
89946120.0,228,LDR
89948120.0,229,LDR
89950120.0,229,LDR
89952120.0,228,LDR
89954120.0,228,LDR
89956120.0,228,LDR
89958120.0,228,LDR
89960120.0,229,LDR
89962120.0,228,LDR
89964120.0,228,LDR
89966120.0,229,LDR
89968120.0,229,LDR
89970120.0,228,LDR
89972120.0,229,LDR
89974120.0,229,LDR
89976120.0,228,LDR
89978120.0,229,LDR
89980120.0,228,LDR
89982120.0,228,LDR
89984120.0,228,LDR
89986120.0,228,LDR
89988120.0,228,LDR
89990120.0,226,LDR
89992120.0,228,LDR
89994120.0,229,LDR
89996120.0,229,LDR
89998120.0,229,LDR
90000120.0,229,LDR
90002120.0,228,LDR
90004120.0,228,LDR
90006120.0,228,LDR
90008120.0,228,LDR
90010120.0,228,LDR
90012120.0,228,LDR
90014120.0,228,LDR
90016120.0,228,LDR
90018120.0,228,LDR
90020120.0,229,LDR
90022120.0,229,LDR
90024120.0,228,LDR
90026120.0,228,LDR
90028120.0,228,LDR
90030120.0,227,LDR
90032120.0,228,LDR
90034120.0,229,LDR
90036120.0,229,LDR
90038120.0,229,LDR
90040120.0,229,LDR
90042120.0,228,LDR
90044120.0,228,LDR
90046120.0,228,LDR
90048120.0,228,LDR
90050120.0,229,LDR
90052120.0,229,LDR
90054120.0,228,LDR
90056120.0,228,LDR
90058120.0,229,LDR
90060120.0,227,LDR
90062120.0,228,LDR
90064120.0,228,LDR
90066120.0,228,LDR
90068120.0,229,LDR
90070120.0,229,LDR
90072120.0,228,LDR
90074120.0,228,LDR
90076120.0,228,LDR
90078120.0,228,LDR
90080120.0,228,LDR
90082120.0,229,LDR
90084120.0,228,LDR
90086120.0,228,LDR
90088120.0,228,LDR
90090120.0,228,LDR
90092120.0,228,LDR
90094120.0,228,LDR
90096120.0,228,LDR
90098120.0,228,LDR
90100120.0,228,LDR
90102120.0,228,LDR
90104120.0,228,LDR
90106120.0,228,LDR
90108120.0,227,LDR
90110120.0,229,LDR
90112120.0,229,LDR
90114120.0,228,LDR
90116120.0,229,LDR
90118120.0,229,LDR
90120120.0,229,LDR
90122120.0,228,LDR
90124120.0,229,LDR
90126120.0,228,LDR
90128120.0,228,LDR
90130120.0,228,LDR
90132120.0,229,LDR
90134120.0,228,LDR
90136120.0,228,LDR
90138120.0,229,LDR
90140120.0,229,LDR
90142120.0,228,LDR
90144120.0,228,LDR
90146120.0,228,LDR
90148120.0,228,LDR
90150120.0,229,LDR
90152120.0,228,LDR
90154120.0,229,LDR
90156120.0,228,LDR
90158120.0,229,LDR
90160120.0,229,LDR
90162120.0,228,LDR
90164120.0,228,LDR
90166120.0,228,LDR
90168120.0,228,LDR
90170120.0,229,LDR
90172120.0,228,LDR
90174120.0,228,LDR
90176120.0,228,LDR
90178120.0,229,LDR
90180120.0,229,LDR
90182120.0,228,LDR
90184120.0,228,LDR
90186120.0,227,LDR
90188120.0,227,LDR
90190120.0,229,LDR
90192120.0,228,LDR
90194120.0,229,LDR
90196120.0,228,LDR
90198120.0,227,LDR
90200120.0,227,LDR
90202120.0,228,LDR
90204120.0,228,LDR
90206120.0,228,LDR
90208120.0,228,LDR
